original_file,translated_file,pair_id,orig_lang,trans_lang,lang_ok,pair_id_ok,is_translation_ok,orig_length,trans_length,length_ratio,paragraphs_orig,paragraphs_trans,headings_orig,headings_trans,lists_orig,lists_trans,code_blocks_orig,code_blocks_trans,flags,severity
2015-10-15-浅谈《沈从文的后半生》.md,2015-10-15-浅谈《沈从文的后半生》_translated.md,浅谈《沈从文的后半生》,zh,en,True,True,True,2609,1999,0.766,16,16,0,0,0,1,0,0,,OK
2015-10-01-重耳见寺人披.md,2015-10-01-重耳见寺人披_translated.md,重耳见寺人披,zh,en,True,True,True,2949,3226,1.094,97,73,5,5,0,0,0,0,,OK
2015-02-01-研究性学习.md,2015-02-01-研究性学习_translated.md,研究性学习,zh,en,True,True,True,39736,30914,0.778,398,409,32,32,7,35,0,0,,OK
2015-12-01-论屈原人格--从屈原的优越感与自卑感说起.md,2015-12-01-论屈原人格--从屈原的优越感与自卑感说起_translated.md,论屈原人格--从屈原的优越感与自卑感说起,zh,en,True,True,True,18914,15419,0.815,200,199,12,12,0,49,0,0,,OK
2015-11-01-“有教无类”释义的再探讨.md,2015-11-01-“有教无类”释义的再探讨_translated.md,“有教无类”释义的再探讨,zh,en,True,True,True,7190,5093,0.708,53,53,6,6,0,4,0,0,,OK
2017-05-26-《论犯罪与刑罚》是怎么写的.md,2017-05-26-《论犯罪与刑罚》是怎么写的_translated.md,《论犯罪与刑罚》是怎么写的,zh,en,True,True,True,13225,8818,0.667,67,66,5,5,12,12,0,0,,OK
2017-10-15-《理想国》第四卷简括.md,2017-10-15-《理想国》第四卷简括_translated.md,《理想国》第四卷简括,zh,en,True,True,True,3067,2118,0.691,8,8,0,0,0,0,0,0,,OK
2017-06-26-试论贝卡利亚的死刑思想.md,2017-06-26-试论贝卡利亚的死刑思想_translated.md,试论贝卡利亚的死刑思想,zh,en,True,True,True,9032,6537,0.724,56,55,3,3,0,0,0,0,,OK
2017-09-31-《理想国》第三卷简括.md,2017-09-31-《理想国》第三卷简括_translated.md,《理想国》第三卷简括,zh,en,True,True,True,2726,1914,0.702,9,9,0,0,0,0,0,0,,OK
2017-05-31-白鹿原里的乡土中国——长篇小说《白鹿原》的社会学分析.md,2017-05-31-白鹿原里的乡土中国——长篇小说《白鹿原》的社会学分析_translated.md,白鹿原里的乡土中国——长篇小说《白鹿原》的社会学分析,zh,en,True,True,True,4657,3532,0.758,17,17,0,0,0,0,0,0,,OK
2017-12-31-孔子生平自述的重新解释——兼论“五十而知天命，六十而耳顺”的人生含义.md,2017-12-31-孔子生平自述的重新解释——兼论“五十而知天命，六十而耳顺”的人生含义_translated.md,孔子生平自述的重新解释——兼论“五十而知天命，六十而耳顺”的人生含义,zh,en,True,True,True,10119,8255,0.816,46,45,5,5,0,0,0,0,,OK
2017-11-16-“What makes Yuelu Academy Yuelu Academy” ——王政祥梦携Sophie游岳麓书院记.md,2017-11-16-“What makes Yuelu Academy Yuelu Academy” ——王政祥梦携Sophie游岳麓书院记_translated.md,“What makes Yuelu Academy Yuelu Academy” ——王政祥梦携Sophie游岳麓书院记,zh,en,True,True,True,4100,3406,0.831,34,34,0,0,0,0,0,0,,OK
2017-12-21-《理想国》第七卷简括.md,2017-12-21-《理想国》第七卷简括_translated.md,《理想国》第七卷简括,zh,en,True,True,True,2636,1792,0.68,8,8,0,0,0,0,0,0,,OK
2017-11-15-祖考皇矣.md,2017-11-15-祖考皇矣_translated.md,祖考皇矣,zh,en,True,True,True,1278,1391,1.088,49,49,0,0,0,0,0,0,,OK
2017-11-21-《理想国》第六卷简括.md,2017-11-21-《理想国》第六卷简括_translated.md,《理想国》第六卷简括,zh,en,True,True,True,2699,1814,0.672,12,12,0,0,0,0,0,0,,OK
2017-10-31-《理想国》第五卷简括.md,2017-10-31-《理想国》第五卷简括_translated.md,《理想国》第五卷简括,zh,en,True,True,True,2883,1853,0.643,7,7,0,0,0,0,0,0,,OK
2017-10-14-何思何虑，勿助勿忘.md,2017-10-14-何思何虑，勿助勿忘_translated.md,何思何虑，勿助勿忘,zh,en,True,True,True,2586,2166,0.838,6,6,0,0,0,0,0,0,,OK
2017-11-20-形式的意味自何来.md,2017-11-20-形式的意味自何来_translated.md,形式的意味自何来,zh,en,True,True,True,2009,1281,0.638,5,5,0,0,0,0,0,0,,OK
2017-05-10-岳麓书院祭孔大典祭文.md,2017-05-10-岳麓书院祭孔大典祭文_translated.md,岳麓书院祭孔大典祭文,zh,en,True,True,True,238,337,1.416,17,17,0,0,0,0,0,0,,OK
2017-04-12-记朱晓农先生的一场讲座.md,2017-04-12-记朱晓农先生的一场讲座_translated.md,记朱晓农先生的一场讲座,zh,en,True,True,True,4650,3318,0.714,15,15,0,0,0,0,0,0,,OK
2017-12-30-《中国歌谣集成•福建卷•福州市分卷》札记.md,2017-12-30-《中国歌谣集成•福建卷•福州市分卷》札记_translated.md,《中国歌谣集成•福建卷•福州市分卷》札记,zh,en,True,True,True,4707,3766,0.8,6,6,0,0,8,8,0,0,,OK
2019-05-03-现代汉语重叠式的表量分析.md,2019-05-03-现代汉语重叠式的表量分析_translated.md,现代汉语重叠式的表量分析,zh,en,True,True,True,7857,5444,0.693,94,94,11,11,0,0,0,0,,OK
2019-01-13-《蛙》的生命伦理观.md,2019-01-13-《蛙》的生命伦理观_translated.md,《蛙》的生命伦理观,zh,en,True,True,True,4481,3294,0.735,28,28,0,0,4,4,0,0,,OK
